,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,brand,brand:wikidata,brand:wikipedia,cuisine,drive_through,name,outdoor_seating,takeaway,wheelchair,latitude,longitude,id,created_by,FIXME,phone,website,addr:country,start_date,toilets:wheelchair,contact:email,contact:fax,contact:phone,contact:website,opening_hours,operator,addr:state,fixme,internet_access,capacity,email,alt_name,shop,description,wpt_symbol,source,addr:suburb,contact:mobile,delivery,smoking,official_name,payment:credit_cards,food,internet_access:fee,internet_access:ssid,contact:facebook,contact:twitter,diet:vegetarian,name:en,entrance,int_name,wifi,address:number,url,addr:housename,brand:website,ele,note,brewery,old_name,name:pt,phone_1,diet:vegan,self_service,air_conditioning,reservation,access,drinking_water,fee,toilets:disposal,toilets:position,opening_hours:covid19,atm,contact:instagram,short_name,name:ja,wheelchair:description,survey:date,wikidata,drive_in,organic,level,min_age,building,contact:soundcloud,contact:youtube,height,addr,tourism,name:nl,amenity_1,mapillary,name:ko,name:fr,diet:gluten_free,addr:full,is_in,source:date,payment:cheque,contact:whatsapp,addr:unit,fax,payment:debit_cards,location,wikipedia,addr:district,name:zh,drink:beer,payment:cash,payment:maestro,payment:mastercard,payment:visa,payment:visa_debit,payment:visa_electron,diet:raw,operator:wikidata,payment:cards,payment:coins,lgbtq,store,name:es,ref,microbrewery,sport,delivery:covid19,bar,diet:meat,drink:wine,covered,name:ru,diet:lactose_free,departures_board,shelter,addr:province
10,,,,,restaurant,,,,,,La Ville,,,,-23.4940563,-46.8484188,435905687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,restaurant,,,,,,Kyoto Temakeria,,,,-23.4957237,-46.8489786,435905694,,Confirmar nome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,restaurant,,,,,,choperia siri bar,,,,-23.5373131,-46.6843487,440405776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,restaurant,,,,,,Malagueta,,,,-23.4965037,-46.8516000,445445588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,restaurant,,,,,,Galeteria Gaucha,,,,-23.4858263,-46.8565790,445445590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,pub,,,,,,Black Horse,,,,-23.4853540,-46.8563559,445445595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,restaurant,,,,,,Kyoto,,,,-23.4855114,-46.8563215,445445597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,bar,,,,,,Maria João,,,,-23.4854563,-46.8561241,445445599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,fast_food,McDonald's,Q38076,en:McDonald's,burger,,McDonald's,,yes,,-23.4982435,-46.8475769,445449941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,restaurant,,,,,,Tenis Club,,,,-23.4905471,-46.8437063,445449949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,restaurant,,,,,,Alpha Grill,,,,-23.4926551,-46.8480326,445662677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,restaurant,,,,,,,,,,-23.5353080,-46.6882476,456330296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,restaurant,,,,,,Santa Panela espetinhos,,,,-23.5528955,-46.5647469,459155903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,pub,,,,,,,,,,-23.5522110,-46.5645495,459158981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,208,,Rua Pascoal Vita,restaurant,,,,,,Sachinha,,,,-23.5508642,-46.6967618,465084475,,,+55 11 3815-0809,http://www.bardosacha.com/site/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,São Paulo,15,05415-040,Rua Mateus Grou,restaurant,,,,japanese,,El Kabong Grill,,,,-23.5657001,-46.6834399,465994688,,,,http://www.elkabong.com.br/,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,São Paulo,1541,04717-004,Rua Alexandre Dumas,restaurant,,,,kebab;middle_eastern,,Sonho Árabe,,,yes,-23.6313559,-46.7057252,525518975,,,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,cafe,,,,,,Casa do Pão de Queijo,,,,-23.5135921,-46.6546907,551082597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,São Paulo,231,05501-000,Avenida Valdemar Ferreira,bar,,,,,,Rei das Batidas,,,,-23.5705674,-46.7060178,567677629,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,fast_food,,,,,,Habib's,,,,-23.4536444,-46.5340347,593696750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,restaurant,,,,,,Maria Paula Bar e Restaurante,,,,-23.5520829,-46.6383065,598667067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,restaurant,,,,chinese,,,,,,-23.5552580,-46.6351745,599006013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,fast_food,Habib's,Q2504930,en:Habib's,middle_eastern,,Habib's,,yes,,-23.5526102,-46.6347120,599006048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,São Paulo,530,01036-000,Avenida São João,cafe,,,,,,Rei do Mate,,,,-23.5428079,-46.6391582,599014804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Guarulhos,675,,Avenida Paulo Faccini,restaurant,,,,japanese,,,,,,-23.4657397,-46.5255591,599050767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,São Paulo,2469,03307-005,Rua Tuiuti,fast_food,,,,burger;coffee_shop;regional;sandwich,,Lanchonete Acácio,,,,-23.5472396,-46.5738229,599609996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,1409,,Rua Ibitirama,restaurant,,,,,,,,,yes,-23.5918430,-46.5796718,601462781,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,São Paulo,3610,01416-002,Rua da Consolação,restaurant,,,,,,Mori Sushi,,,,-23.5630465,-46.6708263,629100013,,,,http://www.ohtasushi.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,fast_food,,,,pizza,,Pizzaria,,,,-23.5522012,-46.6279532,631971367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,fast_food,,,,,,Bar e lanches,,,,-23.5524582,-46.6275235,631974241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,fast_food,,,,,,Bar e lanches,,,,-23.5522306,-46.6276552,631974247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,fast_food,,,,,,Bar e lanches,,,,-23.5529842,-46.6276664,632488685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,fast_food,,,,arab,,Habib's,,,,-23.5501523,-46.5880593,638425947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,restaurant,,,,,,Pobre Juan,,,,-23.5937983,-46.6778126,696177760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,São Paulo,914,05416-001,Rua Fradique Coutinho,cafe,,,,coffee_shop,,Ekoa Café,yes,,,-23.5592263,-46.6891582,705479282,,,+55 11 3032-7842,http://ekoacafe.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,pub,,,,,,Bom Rini,,,,-23.6026846,-46.6937609,745702224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,fast_food,Subway,Q244457,en:Subway (restaurant),sandwich,,Subway,,yes,,-23.6075795,-46.6931384,745702341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,restaurant,,,,pizza,,Pizzaria Leonna,,,,-23.6241305,-46.6796350,745702358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,restaurant,,,,,,La Rocca,,,,-23.4960285,-46.8503211,745702371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,restaurant,,,,,,Giorgio,,,,-23.4965163,-46.8517640,745702381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,São Paulo,187,04083-000,Avenida Moaci,restaurant,,,,burger,,Outback Steakhouse Moema,,,no,-23.6098726,-46.6655492,745702383,,,,,BR,,,moema@outback.com.br,+55 11 5533 1434,+55 11 5096 7713,http://www.outback.com.br/,"Mo-Th 12:00-15:00; Fr 12:00-15:00,18:00-01:00; Sa 12:00-01:00; Su 12:00-23:00; PH 12:00-23:00",Outback Steakhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,restaurant,,,,"batata,_empanadas",,Juanita,,,,-23.5579761,-46.6633192,745720898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,São Paulo,972,01306-010,Rua 13 de Maio,pub,,,,,,Ludus Luderia,,,yes,-23.5618296,-46.6462079,745720903,,,,,BR,,,,,+55 11 3253-8452; +55 11 99241-2211,http://www.ludusluderia.com.br/,"Mo,Tu 12:00-15:00; We-Fr 12:00-15:00,18:00-24:00; Sa 00:00-03:00,12:00-15:00,18:00-24:00; Su 00:00-03:00,11:00-23:00",,São Paulo,Confirmar em qual edifício este bar está posicionado.,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,cafe,,,,,,Athos Cafe,,,,-23.5597255,-46.6378913,745723007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,bar,,,,,,,,,,-23.5567912,-46.6301747,745728708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,bar,,,,,,,,,,-23.5597761,-46.6310636,745728722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,pub,,,,,,Biroska,,,,-23.5406756,-46.6507816,745730423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,São Paulo,50,03166-030,Praça Ciro Pontes,pub,,,,,,Cerveja Azul,,,,-23.5529569,-46.5994250,745741453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,Avenida Engenheiro Caetano Alvares,bar,,,,,,Bar do Luiz,,,,-23.4860942,-46.6386645,745741462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,São Paulo,1834,,Rua Vergueiro,restaurant,,,,temaki,,TemakiYa,,,,-23.5784761,-46.6404570,759724327,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,restaurant,,,,,,Grillarica,,,,-23.5031267,-46.8240322,761884079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,fast_food,,,,sandwich,,Subway,,,,-23.5014279,-46.8357108,764539085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,fast_food,,,,,,Fast Taco,,,,-23.5013836,-46.8358717,764539087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,restaurant,,,,,,Sushi,,,,-23.5012754,-46.8357859,764539088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,São Paulo,568,05406-000,Rua Teodoro Sampaio,restaurant,,,,,,Degas Restaurante e Churascaria,,,,-23.5566344,-46.6760952,772915947,,,+55 11 3062-1276,https://www.degasrestaurante.com.br/,,,,,,,,,,,,,,degasrestaurante@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,cafe,,,,,,,,,,-23.5982878,-46.6425464,840709333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,fast_food,,,,,,,,,,-23.6038622,-46.6421897,840711419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,fast_food,,,,,,,,,,-23.6015715,-46.6440351,840717296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,restaurant,,,,,,Dinos,,,,-23.5967934,-46.6423796,840718002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,restaurant,,,,,,,,,,-23.5970589,-46.6445254,840718341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,cafe,,,,,,,,,,-23.5988286,-46.6441665,840719953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
